x(cm),y(cm),z(cm),yaw(deg),pitch(deg),roll(deg)
0,0,0,0,0,0
-1.57203364372253,-0.137467309832573,0.381657004356384,-0.000311005062474674,0.00424925548620941,0.000180738139929179
-0.186472356319427,-0.857444584369659,-0.063583604991436,-0.00241278376696333,0.0021464995148676,0.00122272269046779
1.20022797584534,-0.735336124897003,-0.899166941642761,-0.00347038089019566,-0.00074895005817419,0.00258848645775282
0.347278267145157,-0.230251923203468,-2.185063123703,-0.00360853437004998,0.00157484779230674,0.00362902739973862
-0.819270551204681,-1.34391176700592,-2.00038003921509,-0.00454880520671785,0.00586349050698515,0.00166674411200534
-0.586719036102295,-0.310909599065781,-0.769365310668945,-0.00496515623745756,0.00649296688410757,0.00319961356931691
-2.0480375289917,0.396915912628174,-0.737027287483215,-0.00557031434222576,0.00776006197614991,0.00422389116238261
-1.09590256214142,-0.550323843955994,0.175471276044846,-0.00662574734266968,0.00649910021808018,0.00245199665718972
0.284133344888687,-1.3080507516861,-0.220724776387215,-0.00805902713979165,0.00627326139546939,0.00203524088638957
-0.892961859703064,-2.41223192214966,-0.389277696609497,-0.00812292413890611,0.00973310432717078,0.00085774965628768
-2.21511006355286,-1.50041818618774,-0.150137051939964,-0.00810725092144957,0.0125187891176548,0.00185427048886231
-3.50569248199463,-1.5986487865448,0.831667006015778,-0.00825506480539644,0.0138100157943398,0.00155404557351297
-3.499591588974,-3.15668034553528,1.28987419605255,-0.00965592003770831,0.0143544596400066,0.000856796466321804
-4.50127172470093,-4.32891273498535,1.79891312122345,-0.0110830453324711,0.0170225230244329,-0.00112842486055424
-2.9323832988739,-4.01309967041016,2.05925369262695,-0.0112116599795865,0.0164210627464241,-0.00119197233522573
-4.52173614501953,-3.79692840576172,2.31399822235107,-0.011390849940287,0.0181016076433161,-0.00143107595822629
-3.46856188774109,-2.62265038490295,2.69411540031433,-0.0124161485862222,0.0172764918206194,-0.00114672886741305
-4.41283893585205,-1.39223325252533,2.21645140647888,-0.0143368735565414,0.0193286701609792,0.000614333513910046
-3.03687953948975,-1.93023717403412,1.54369103908539,-0.0154432518336985,0.0203307557102662,0.00151850625474622
-4.54455089569092,-2.16591334342957,0.990733683109283,-0.0161907278719482,0.025375766363639,0.00155050385701707
-5.85936594009399,-3.11137700080872,0.878399193286896,-0.0159705529210955,0.0298867411396154,0.000640886987134236
-6.96580839157104,-2.17219805717468,1.60716271400452,-0.0139449428316302,0.0327593425675545,-3.50515884448082e-05
-8.50427436828613,-1.66291844844818,1.49923384189606,-0.0124964792106774,0.0346955743321123,-0.000541624504102137
-9.93159770965576,-2.4368109703064,1.46912550926208,-0.0113917127309148,0.0338752144262373,-0.001115860464421
-11.2277870178223,-3.33269906044006,1.07621967792511,-0.0109734007741778,0.0328153106257916,-0.000822324257548008
-10.4247665405273,-2.55449557304382,-0.0983824282884598,-0.0110885493186433,0.0303068001717755,-0.000583595780404154
-8.8019323348999,-2.50734257698059,-0.143485903739929,-0.0118302292082788,0.0288840326201348,-0.000668271312742311
-7.66858148574829,-2.78397703170776,0.985906183719635,-0.0126498266844286,0.0309379295849072,0.000194195166864136
-8.90476703643799,-2.16648888587952,0.135307744145393,-0.0124116181770962,0.0358660830911468,0.00146979279394518
-10.3522090911865,-1.55169177055359,0.541839838027954,-0.0118485774440401,0.0405001523346381,0.00244892126671268
-11.6771793365479,-0.613440692424774,0.453772723674774,-0.0114693931325413,0.0434254393880475,0.00207810034948449
-12.6111736297607,-1.851930975914,-0.0253219921141863,-0.0109443474219855,0.0437036428600484,0.00170322304392049
-11.2088241577148,-2.60355806350708,0.301005005836487,-0.01151580322748,0.0439884873825355,0.00251789330753241
-11.8019857406616,-3.80054473876953,-0.618063986301422,-0.013265865743134,0.0462736504200105,0.00181330409779652
-12.0437822341919,-2.71366596221924,0.561973631381989,-0.0137526716788527,0.0468660589199688,0.00279224517765727
-12.2805185317993,-1.12900841236115,0.820083856582642,-0.0143379802414109,0.0484242795201515,0.00646275981999898
-12.8855352401733,0.339920878410339,1.15429973602295,-0.0145586459347432,0.0480451910131831,0.00567292809574129
-12.0576753616333,-0.969545483589172,1.64059281349182,-0.014752980814883,0.0448978669563248,0.00189727282931281
